Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
sdg,Australia and New Zealand,total,Sanitation,2020,24.4717,7420337.63626,Basic service
sdg,Australia and New Zealand,total,Sanitation,2020,0,0,Limited service
sdg,Australia and New Zealand,total,Sanitation,2020,0,0,Open defecation
sdg,Australia and New Zealand,total,Sanitation,2020,75.52085,22899518.31636,Safely managed service
sdg,Australia and New Zealand,total,Sanitation,2020,0.00744,2257.04737,Unimproved
sdg,Australia and New Zealand,total,Drinking water,2020,99.97461,30314414.026,At least basic
sdg,Australia and New Zealand,rural,Drinking water,2020,100,4149933.68,At least basic
sdg,Australia and New Zealand,urban,Drinking water,2020,3.43717,899582.23609,Basic service
sdg,Australia and New Zealand,total,Drinking water,2020,0,0,Limited service
sdg,Australia and New Zealand,rural,Drinking water,2020,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2020,0,0,Limited service
sdg,Australia and New Zealand,urban,Drinking water,2020,96.53342,25264900.5907,Safely managed service
sdg,Australia and New Zealand,total,Drinking water,2020,0,0,Surface water
sdg,Australia and New Zealand,rural,Drinking water,2020,0,0,Surface water
sdg,Australia and New Zealand,urban,Drinking water,2020,0,0,Surface water
sdg,Australia and New Zealand,total,Drinking water,2020,0.02539,7697.88838,Unimproved
sdg,Australia and New Zealand,rural,Drinking water,2020,0,0,Unimproved
sdg,Australia and New Zealand,urban,Drinking water,2020,0.02941,7696.97322,Unimproved
sdg,Central and Southern Asia,total,Hygiene,2020,68.84947,1387116176.43321,Basic service
sdg,Central and Southern Asia,rural,Hygiene,2020,61.06943,774026526.71864,Basic service
sdg,Central and Southern Asia,urban,Hygiene,2020,82.04555,613089610.03901,Basic service
sdg,Central and Southern Asia,total,Hygiene,2020,27.81523,560395723.86753,Limited service
sdg,Central and Southern Asia,rural,Hygiene,2020,34.81141,441218347.77549,Limited service
sdg,Central and Southern Asia,urban,Hygiene,2020,15.94868,119177356.93866,Limited service
sdg,Central and Southern Asia,total,Hygiene,2020,3.3353,67196637.80786,No handwashing facility
sdg,Central and Southern Asia,rural,Hygiene,2020,4.11916,52208405.26586,No handwashing facility
sdg,Central and Southern Asia,urban,Hygiene,2020,2.00577,14988230.26233,No handwashing facility
sdg,Central and Southern Asia,total,Sanitation,2020,24.71601,497955602.73046,Basic service
sdg,Central and Southern Asia,rural,Sanitation,2020,16.66261,211190747.31148,Basic service
sdg,Central and Southern Asia,urban,Sanitation,2020,38.37576,286764842.79501,Basic service
sdg,Central and Southern Asia,total,Sanitation,2020,12.25403,246883007.05258,Limited service
sdg,Central and Southern Asia,rural,Sanitation,2020,9.41371,119314426.93909,Limited service
sdg,Central and Southern Asia,urban,Sanitation,2020,17.07162,127568573.49952,Limited service
sdg,Central and Southern Asia,total,Sanitation,2020,11.56152,232930987.93538,Open defecation
sdg,Central and Southern Asia,rural,Sanitation,2020,17.9822,227916012.32252,Open defecation
sdg,Central and Southern Asia,urban,Sanitation,2020,0.67112,5014966.57067,Open defecation
sdg,Central and Southern Asia,total,Sanitation,2020,46.57131,938276122.63608,Safely managed service
sdg,Central and Southern Asia,rural,Sanitation,2020,49.89764,632429226.95661,Safely managed service
sdg,Central and Southern Asia,urban,Sanitation,2020,40.92937,305846866.19598,Safely managed service
sdg,Central and Southern Asia,total,Sanitation,2020,4.89712,98662791.64751,Unimproved
sdg,Central and Southern Asia,rural,Sanitation,2020,6.04384,76602866.23031,Unimproved
sdg,Central and Southern Asia,urban,Sanitation,2020,2.95213,22059948.17882,Unimproved
sdg,Central and Southern Asia,total,Drinking water,2020,28.85735,581391390.26295,Basic service
sdg,Central and Southern Asia,rural,Drinking water,2020,27.03822,342696748.10021,Basic service
sdg,Central and Southern Asia,urban,Drinking water,2020,31.94285,238694625.0883,Basic service
sdg,Central and Southern Asia,total,Drinking water,2020,4.13722,83352967.19315,Limited service
sdg,Central and Southern Asia,rural,Drinking water,2020,4.91113,62246280.05806,Limited service
sdg,Central and Southern Asia,urban,Drinking water,2020,2.82456,21106684.36778,Limited service
sdg,Central and Southern Asia,total,Drinking water,2020,62.35513,1256274110.23338,Safely managed service
sdg,Central and Southern Asia,rural,Drinking water,2020,62.15069,787731019.76044,Safely managed service
sdg,Central and Southern Asia,urban,Drinking water,2020,62.70188,468543052.43122,Safely managed service
sdg,Central and Southern Asia,total,Drinking water,2020,0.93656,18868967.89514,Surface water
sdg,Central and Southern Asia,rural,Drinking water,2020,1.3553,17177747.95869,Surface water
sdg,Central and Southern Asia,urban,Drinking water,2020,0.22632,1691219.23502,Surface water
sdg,Central and Southern Asia,total,Drinking water,2020,3.71374,74821076.4174,Unimproved
sdg,Central and Southern Asia,rural,Drinking water,2020,4.54466,57601483.8826,Unimproved
sdg,Central and Southern Asia,urban,Drinking water,2020,2.30438,17219616.11769,Unimproved
sdg,Eastern and South-Eastern Asia,total,Sanitation,2020,30.92541,725729526.4473,Basic service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2020,42.75318,395519718.72048,Basic service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2020,23.22827,330209805.38462,Basic service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2020,3.41578,80158378.90397,Limited service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2020,4.05571,37520293.04991,Limited service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2020,2.99933,42638085.73849,Limited service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2020,1.6099,37779705.94083,Open defecation
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2020,3.20149,29617708.21832,Open defecation
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2020,0.57415,8161997.38881,Open defecation
sdg,Eastern and South-Eastern Asia,total,Sanitation,2020,60.21575,1413088702.00014,Safely managed service
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2020,42.75411,395528322.97911,Safely managed service
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2020,71.57924,1017560383.22396,Safely managed service
sdg,Eastern and South-Eastern Asia,total,Sanitation,2020,3.83316,89953099.70777,Unimproved
sdg,Eastern and South-Eastern Asia,rural,Sanitation,2020,7.23551,66937403.1721,Unimproved
sdg,Eastern and South-Eastern Asia,urban,Sanitation,2020,1.61902,23015697.06271,Unimproved
sdg,Eastern and South-Eastern Asia,total,Drinking water,2020,94.31746,2213356690.95232,At least basic
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2020,89.31886,826309672.07005,At least basic
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,4.9362,70172357.03943,Basic service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2020,0.90469,21230531.07152,Limited service
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2020,1.85553,17165914.91198,Limited service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,0.28592,4064615.96098,Limited service
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,92.63419,1316874596.74307,Safely managed service
sdg,Eastern and South-Eastern Asia,total,Drinking water,2020,0.57368,13462589.93051,Surface water
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2020,1.06327,9836536.97191,Surface water
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,0.25507,3626052.85559,Surface water
sdg,Eastern and South-Eastern Asia,total,Drinking water,2020,4.20417,98659664.59454,Unimproved
sdg,Eastern and South-Eastern Asia,rural,Drinking water,2020,7.76235,71811318.88977,Unimproved
sdg,Eastern and South-Eastern Asia,urban,Drinking water,2020,1.88862,26848346.20093,Unimproved
sdg,Europe and Northern America,total,Sanitation,2020,19.81994,221290775.44106,Basic service
sdg,Europe and Northern America,rural,Sanitation,2020,47.49134,119725340.17825,Basic service
sdg,Europe and Northern America,urban,Sanitation,2020,11.74973,101565433.85549,Basic service
sdg,Europe and Northern America,total,Sanitation,2020,0.59294,6620252.67392,Limited service
sdg,Europe and Northern America,rural,Sanitation,2020,0.70791,1784647.18005,Limited service
sdg,Europe and Northern America,urban,Sanitation,2020,0.55941,4835605.4642,Limited service
sdg,Europe and Northern America,total,Sanitation,2020,0.00103,11453.92587,Open defecation
sdg,Europe and Northern America,rural,Sanitation,2020,0.00454,11453.92593,Open defecation
sdg,Europe and Northern America,urban,Sanitation,2020,0,0,Open defecation
sdg,Europe and Northern America,total,Sanitation,2020,77.74918,868074059.73455,Safely managed service
sdg,Europe and Northern America,rural,Sanitation,2020,46.2873,116689969.51284,Safely managed service
sdg,Europe and Northern America,urban,Sanitation,2020,86.92487,751384087.11832,Safely managed service
sdg,Europe and Northern America,total,Sanitation,2020,1.8369,20509140.0246,Unimproved
sdg,Europe and Northern America,rural,Sanitation,2020,5.5089,13887899.04688,Unimproved
sdg,Europe and Northern America,urban,Sanitation,2020,0.76599,6621239.34486,Unimproved
sdg,Europe and Northern America,rural,Drinking water,2020,98.32519,247877119.55186,At least basic
sdg,Europe and Northern America,total,Drinking water,2020,3.56364,39788259.76173,Basic service
sdg,Europe and Northern America,urban,Drinking water,2020,2.46313,21291494.33747,Basic service
